,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
First,Middle,Last,Street,City,State,Zip,SSN,,
EMERSON,,DE GRAW,1036 GREENLY,PFAFFTOWN,NC,27040,666904550,,
ANN,S,KROGMEIER,598 CROSSWINDS,MOUNT AIRY,NC,27030,666920772,,
CYNDI,M,HACKER,6616 UNIVERSITY,RURAL HALL,NC,27045,666922037,,
BARBARA,,COSGRAVE,1315 MORREENE,DURHAM,NC,27705,666968680,,
SCOTT,A,BECKLEY,2835 TEAKWOOD,WINSTON SALEM,NC,27106,666994108,,
RINALDO,,FELICIANO,3902 LACY,GREENSBORO,NC,27405,666049735,,
JOHN,R,MORTH          JR,746 RR11,LEXINGTON,NC,27292,666128016,,
SHIRLEY,A,DURHAM,608 HUB EVERHART,THOMASVILLE,NC,27360,666163745,,
KAREN,,BROOKS,1435 PENNSYLVANIA,ASHEBORO,NC,27203,666181924,,
JOSEPH,,BIELEW,PO BOX 3781,CHAPEL HILL,NC,27515,666188907,,
WILLIAM,E,HEANER,301 MILL,WINSTON SALEM,NC,27103,666189699,,
DENNIS,A,KLOKER,214 E JIMMY,CANDOR,NC,27229,666201469,,
LYNNE,A,COOK,2544 BRIDGEVIEW,ELON COLLEGE,NC,27244,666260468,,
WILBUR,A,BAZEMORE,1005 MANNING,EDEN,NC,27288,666309369,,
RICHARD,A,EBERHARDT,387 RR6,WINSTON SALEM,NC,27107,666320547,,
SUE,,KRAMER,65 LUCI,GREENVILLE,NC,27834,666328315,,
H,E,CRISP,WALNUT GROVECHURCHR,HURDLEMILLS,NC,27541,666340141,,
AMANDA,S,GONSALES,5505 WESLO WILLOW,GREENSBORO,NC,27409,666344109,,
KATHLEEN,A,DOYLE,3430 ROLLING,HIGH POINT,NC,27265,666361377,,
MARY,L,ELMORE,10545 PACES,MATTHEWS,NC,28105,666368800,,
JEAN,T,MELDRUM,PO BOX 932,KERNERSVILLE,NC,27285,666409310,,
GWEN,,COX,3031 NORTHWOOD,WINSTON SALEM,NC,27106,666409485,,
J,L,ATKINS,1603 HOBBS,GREENSBORO,NC,27410,666421770,,
WILLIAM,C,BRIDWELL,1801 FRANKLIN,HIGH POINT,NC,27260,666423393,,
WILLIAM,,BREWER         JR,5636 W MARKET,GREENSBORO,NC,27409,666441265,,
CATHERINE,A,BOWERS,528 HIGH POINT,RANDLEMAN,NC,27317,666442327,,
DEBORAH,M,BUHRO,1205 NHAMILTON,HIGHPOINT,NC,27262,666446495,,
FRANCES,L,BROWN,370 HAPPY LAKE,ROCKWELL,NC,28138,666449163,,
JAMES,W,BIRD,2331 SEDGEMONT,WINSTON SALEM,NC,27103,666449923,,
SAL,,BECERRA,1304 HUNTER OAKS,CHARLOTTE,NC,28213,666461149,,
SANDRA,L,BURKE,624 W END,WINSTON SALEM,NC,27101,666464205,,
CAROLYN,,MARTIN,9619 TRESANTON,CHARLOTTE,NC,28210,666466680,,
SUZANNE,,HELLMAN,1661 TUCKER,CLEMMONS,NC,27012,666469619,,
STEVEN,,HAWKINS,2174 FREEDOMS,LONGWOOD,NC,28452,666485468,,
GILDA,N,LAUTRIC,5693 DOBSON,FAYETTEVILLE,NC,28311,666506637,,
RICAHRD,,BILLET,819 MINORCAS,WINSTON SALEM,NC,27106,666521700,,
EDITH,T,BUTLER,40A RR1,BEAR CREEK,NC,27207,666524156,,
RICK,G,BARNES,1407 BURTON,THOMASVILLE,NC,27360,666585494,,
RICK,E,DUNLAP,10516 KETTERING,CHARLOTTE,NC,28226,666585860,,
JOEY,J,BOSANIC,547 RR4,ADVANCE,NC,27006,666600852,,
JANE,S,BOLDT,PO BOX 5,WINSTON SALEM,NC,27102,666606743,,
HACKNEY,,CLARA,PO BOX 7672,GREENSBORO,NC,27417,666607678,,
PHILLIP,N,MURRELL,1140 BEAVER,SANFORD,NC,27330,666608473,,
SHANE,,LUDTKE,PO BOX 1100,GASTONIA,NC,28053,666609211,,
ANN,W,BUGG,1011 FISHER FERRY,THOMASVILLE,NC,27360,666641422,,
BHAVNA,,BHAKTA,9020 JEFFERSON WOODS,RURAL HALL,NC,27045,666641876,,
VICTORIA,,COOPER,625 ARBOR,WINSTON SALEM,NC,27104,666641972,,
NICOLE,D,BRUZZONE,CHILTONS MHP 1 LOT 12,ASHEBORO,NC,27203,666643476,,
BIRCH,R,MARSH,657 RR4,REIDSVILLE,NC,27320,666648833,,
ALBERT,N,JORDON,1301 5 HARDIMONT,RALEIGHT,NC,27609,666660317,,
HOWARD,C,ACKMAN,900 E 3RD,WINSTON SALEM,NC,27101,666662705,,
AGNEW,B,LYNCH,713 DAVIDSON,THOMASVILLE,NC,27360,666663838,,
MARTHA,L,BRASHEARS,PO BOX 21103,WINSTON SALEM,NC,27120,666666993,,
DARLENE,L,BERTRAND,CITY VIEW TRAILER,YADKINVILLE,NC,27055,666667500,,
MARK,,KILSETH,5004 ORCHARD RIDGE,GREENSBORO,NC,27455,666668110,,
GLORIA,L,BAKER,1 RR5,ASHEBORO,NC,27203,666689025,,
COLLEEN,D,BIALCZAK,1251 ASH,WINTERVILLE,NC,28590,666705210,,
ARNELL,,BAZEMORE,5750 SWEETBRIAR,PFAFFTOWN,NC,27040,666724568,,
MICHAEL,L,BURTNER,136 RR6,WINSTON SALEM,NC,27107,666729196,,
PEARLIE,S,DIAMOND,5633 NC HIGHWAY 62,TRINITY,NC,27370,666729426,,
LINDA,H,BRIGNAC,PO BOX 549,WINSTON SALEM,NC,27102,666741728,,
FARZANA,,COSTIANIS,6341 ELDERSLIE,CHARLOTTE,NC,28269,666742422,,
DAMARIS,V,GULATE,203 QUAIL WOOD,WINSTON SALEM,NC,27104,666766960,,
JUDITH,S,BENTLEY,1857 LITTLEJOHN W,BURLINGTON,NC,27217,666768202,,
TERESA,R,BOCKHORST,6788 WILLOWBROOK,FAYETTEVILLE,NC,28314,666783039,,
GEORGE,W,BLACKBURN,286 RR14,SANFORD,NC,27330,666783476,,
LINDA,H,CHATHAM,321 RR2,WESTFIELD,NC,27053,666800133,,
MARY,J,MARTIN,5192 HUNTCLIFF,WINSTON SALEM,NC,27104,666800224,,
ANNIE,,BEDGOOD,119 N IRELAND,BURLINGTON,NC,27217,666800825,,
JUDITH,R,ADAMS,5205 DANA,RALEIGH,NC,27606,666803269,,
FRANCES,M,BALEY,5732 RICHARDSON MOBILE HO,SEAGROVE,NC,27341,666820693,,
LARRY,G,DARCEY,3008 LAWNDALE,GREENSBORO,NC,27408,666825374,,
DORTHY,A,BECKER,1373 LEES CHAPEL,GREENSBORO,NC,27455,666825778,,
ELIZABETH,,BONILLO,863 GOLD ROCK,ROCKY MOUNT,NC,27804,666843709,,
BARBARA,A,FITTRO,5612 WESLO WILLOW,GREENSBORO,NC,27409,666845558,,
DEBORAH,A,BECKER,PO BOX 68,EFLAND,NC,27243,666868593,,
LESLIE,R,MCGILBERRY,7620 JEFF,SPRING LAKE,NC,28390,666881524,,
VICKIE,,MARTIN,4108 TRAVELER,SANFORD,NC,27330,666881854,,
MARK,A,ANDERSON,220D RR1,GERMANTON,NC,27019,666887021,,
BOB,,FRANK,1819 SUNNY,ASHEBORO,NC,27203,666887065,,
MARCIA,D,DAVIS,7600 THORNDIKE,GREENSBORO,NC,27409,666888544,,
CHRISTOPHER,A,BAILEY,PO BOX 1237,ELON COLLEGE,NC,27244,666904452,,
DORRIS,,BROUSSARD,1205 MANASSAS,RALEIGH,NC,27609,666908756,,
MIKE,,LOGAN,323A RR2,WESTFIELD,NC,27053,666922674,,
ROBERT,,LEISRING,9846 WOODRUFF,KERNERSVILLE,NC,27284,666926545,,
H,,CORAZON,1233 SMITH,ANGIER,NC,27501,666960578,,
MARY,,BRADLEY,372 RR3,TRINITY,NC,27370,666043366,,
ROZIO,,CUEVAS,PO BOX 865,JAMESTOWN,NC,27282,666129720,,
DIANA,D,ALFRED,PO BOX 166,PILOT MOUNTAIN,NC,27041,666163301,,
ROBERT,E,BLACKERT,105 W BLUE RIDGE UNIT C3,BLACK MOUNTAIN,NC,28711,666179534,,
JULIO,A,DE,404 GAIL,THOMASVILLE,NC,27360,666180354,,
TAMETHA,J,MILBRATH,212 TAMWORTH,CLEMMONS,NC,27012,666224432,,
MAURICE,D,BROOKS,6026 CARMON,GIBSONVILLE,NC,27249,666228962,,
DENISE,D,HALL,6500 CHAPRAL W,LEWISVILLE,NC,27023,666259466,,
KATHERINE,D,BLACKMON,211 N BRIDGE,EDEN,NC,27288,666305000,,
SILVANO,,DALESSANDRI,924 MORNINGSIDE,BURLINGTON,NC,27217,666329524,,
LUZ,S,BAGO,5025 STEEPLESHIRE,GREENSBORO,NC,27410,666341706,,
DENNIS,P,HUNT,AVONDALE MPH LOT 1,KERNERSVILLE,NC,27284,666343904,,
JACKLYN,,BIERY,2588 ALDERNEY,WINSTON SALEM,NC,27103,666345033,,
BENJAMIN,M,DUNCAN,2503 OLD STEINE,CHARLOTTE,NC,28269,666358497,,
SUSAN,Y,GUTTWEILER,109 CEDAR CREEK,HILLSBOROUGH,NC,27278,666364430,,
SHEPENDIM,,NADZAKU,104 WONDERLAND,REIDSVILLE,NC,27320,666380879,,
ANTHONY,B,MORGAN,6751 FARRINGTON,CHAPEL HILL,NC,27514,666382943,,
DONALD,A,BOREL          JR,2350 VENIE,BURLINGTON,NC,27215,666388003,,
ROCIO,G,CUEVAS,2210 HICKSWOOD,HIGH POINT,NC,27265,666426178,,
RONALD,J,HARMON,PO BOX 482,COOLEEMEE,NC,27014,666468448,,
HEATHER,E,BECK,1642 HAWFIELDS,MEBANE,NC,27302,666469248,,
EARNEST,,BALDWIN,702 N CARR,MEBANE,NC,27302,666482371,,
MARIE,,GOOD,588 RR7,MOCKSVILLE,NC,27028,666482659,,
BOBBY,J,BRANHAM,411 FAIRVIEW,LEXINGTON,NC,27292,666484259,,
JIM,,BIGGERS,1481 ROY LOPP,LEXINGTON,NC,27292,666500556,,
TERESA,R,BOCKHORST,1008 AZALEA,EAST BEND,NC,27018,666506329,,
CHARLES,D,BUCK,1711 WHITSETT,BURLINGTON,NC,27215,666507326,,
CHRISTI,M,CHESHIRE,2809 LAMROC,GREENSBORO,NC,27407,666509966,,
JOHNNY,R,BECERRA        JR,RR10,FAYETTEVILLE,NC,28311,666520124,,
WANDA,F,LEACH,685 LAKESIDE EXTENTION,STONEVILLE,NC,27048,666520579,,
GLORIA,M,BRESSON,113 4TH,CLINTON,NC,28328,666520741,,
CAROLYNE,,COLONE,2701 KNOB HILL,CLEMMONS,NC,27012,666543842,,
SIDNEY,,MILTZ,205 ARTHUR,THOMASVILLE,NC,27360,666545184,,
NANCY,L,CLARK,1204 MONTLIEU,HIGH POINT,NC,27262,666546970,,
LISA,B,GRANT,206 K SAMONY,FAYETTEVILL,NC,28304,666563227,,
JAMIE,,BARKER,322 SPRINGHILL,GREENVILLE,NC,27858,666569311,,
BETTY,J,HANSON,696 RR9,MOCKSVILLE,NC,27028,666583739,,
MARK,,BURGESS,18716 4 NAUTICAL,CORNELIUS,NC,28031,666588296,,
ORETHA,,BRISTER,3200 STONES THROW,DURHAM,NC,27713,666601730,,
PHILLIP,,HUTZELL,1136 APPLEGATE,KERNERSVILLE,NC,27284,666602088,,
ETHEL,F,LADD,132 KINGSBURY,CHAPEL HILL,NC,27514,666604484,,
MARK,S,BEDARD,HHB 3RD OF 68TH,FAYETTEVILLE,NC,28307,666621300,,
MORGAN,,GENTRY,369D RR2,DOBSON,NC,27017,666624238,,
RICHARD,T,BRIANO,PT BOX,COOLEEMEE,NC,27014,666625642,,
DEBBIE,S,GILLIAM,3106 YANCEYVILLE,GREENSBORO,NC,27405,666627833,,
JORDAN,S,KASE,5192 HUNTCLIFF,WINSTON SALEM,NC,27104,666628616,,
LINDA,E,MACLEAN,243 POINT,HIGH POINT,NC,27262,666641313,,
RINALDO,J,FELICIANO,3752 SOUTHEAST-,GREENSBORO,NC,27406,666664186,,
CARI,J,BERLIN,3827 NC HIGHWAY 87 S,SANFORD,NC,27330,666667576,,
ROSEMARY,,LUCCIOIN,1018 COUNTRY CLUB,HIGH POINT,NC,27262,666680364,,
WILLIAM,F,BEINER,4825 COMMERCIAL,WINSTON SALEM,NC,27104,666681205,,
JAMES,R,BOWEN,245 CREEKSIDE,MURPHY,NC,28906,666701352,,
HUBERT,T,BROWN,7800 BRADSHAW QUARRY,MEBANE,NC,27302,666706345,,
JACQUELINE,M,HAAS,2730D COLE,WINSTON SALEM,NC,27107,666707183,,
PATRICIA,A,BUONO,220 TATE,GREENSBORO,NC,27403,666720471,,
JOHN,B,MANZELLA       SR,504 WESTSIDE,LEXINGTON,NC,27292,666721783,,
BARBARA,R,EDLEY,804 RR3,DOBSON,NC,27017,666722708,,
E,R,HENSLEY,PO BOX 48,COOLEEMEE,NC,27014,666725509,,
THERESE,A,BUTLER,1910 OLD FARMER,ASHEBORO,NC,27203,666727846,,
DAVID,M,BOUCHER,286D RR1,WALNUT COVE,NC,27052,666728599,,
ROGER,,KOIVU,552 COUNTRY CLUB,MT AIRY,NC,27030,666745007,,
RICK,G,BARNES,1001 CHESTNUT,SMITHFIELD,NC,27577,666748521,,
APRIL,,BIANCO,4201 GOLF COURSE,BOONVILLE,NC,27011,666749885,,
SONDRA,,BRASHEAR,2417 N CHURCH,BURLINGTON,NC,27217,666761809,,
LADONNA,,FISHER,296C RR1,WESTFIELD,NC,27053,666762045,,
GARLAND,F,FULLERTON,3216 PENINSULA,JAMESTOWN,NC,27282,666767662,,
MARVIN,O,BAER           JR,179B RR2,BOONVILLE,NC,27011,666803621,,
LINDA,,MACLEAN,1820 FRANCISCAN,WINSTON SALEM,NC,27127,666808384,,
MICHELLE,R,ATKINS,1184 RR7,THOMASVILLE,NC,27360,666820032,,
GEORGE,E,BLANKENSHIP,402 PEACH ORCHARD,GREENSBORO,NC,27455,666823650,,
BRUCE,C,BJORKLAND,4239 BROWNSBORO,WINSTON SALEM,NC,27106,666829565,,
KAREN,A,BERG,449 CANTERWOOD,MEBANE,NC,27302,666842378,,
ANN,M,MURRAY,1373 LEES CHAPEL,GREENSBORO,NC,27455,666842743,,
GERG,K,BARTLEY,105 MOHAWK,HIGH POINT,NC,27262,666844618,,
CHARLES,,MALLORY,117 MARTIN HILL,DOBSON,NC,27017,666867349,,
CYNTHIA,J,HARBENSKI,13530 YORK,CHARLOTTE,NC,28278,666882782,,
THOMAS,L,MILLER,15 FOUNTAIN MANOR,GREENSBORO,NC,27405,666921125,,
ROSEMARY,,LUCCLOLA,113 NE MIDDLETON,OAK ISLAND,NC,28465,666923046,,
MICHAEL,C,MARCHAK,137 COLUMBINE,WINSTON SALEM,NC,27106,666941536,,
ROBERT,,BEHE,6817 A 1 FISHERS FARM,CHARLOTTE,NC,28277,666942212,,
J,L,DEC,1608 KARMEL,WINSTON SALEM,NC,27127,666944556,,
CLAUDE,,BUCHANAN,100 BEATON,WEST FARGO,ND,58078,666080760,,
JAMES,M,FAULKNER,103 DENVER,MINOT AFB,ND,58704,666092264,,
SIDNEY,J,MILTZ,2810 GATEWAY,BISMARCK,ND,58501,666186842,,
ANGELA,D,EASTHAM,155 RR1,LEITH,ND,58529,666189462,,
FRANCES,V,LOMAX,2701 S 26TH,GRAND FORKS,ND,58201,666205176,,
SANDY,M,CLAPP,10443 51ST NE,LAKOTA,ND,58344,666205378,,
ADELINE,M,BROWN,PO BOX 1021,DICKINSON,ND,58602,666244873,,
INA,,BLOOMQUIST,USAGMPCOBX 6546,FTMEADE,ND,20755,666323587,,
JOANN,,CAVILL,3049 18TH S,FARGO,ND,58103,666349031,,
STACEY,A,JOHNSON,715 N MANDAN,BISMARCK,ND,58501,666366726,,
DENNIS,E,MEEKS,1802 E 1ST N,GRAND FORKS,ND,58203,666376928,,
JOHN,J,FOSSETT        SR,923 N 22ND,GRAND FORKS,ND,58203,666377498,,
ANDREA,,MORGAN,219A RR6,MINOT,ND,58703,666389136,,
J,,JESSUP,252 N 6TH,PEMBINA,ND,58271,666402097,,
WILLIAM,P,LEWIS,173A RR1,THOMPSON,ND,58278,666408094,,
BARBARA,,LEGGETT,2510 UNIVERSITY,GRAND FORKS,ND,58203,666455423,,
BETTY,J,BARRETT,920 12TH E,DICKINSON,ND,58601,666469452,,
LARRY,,HEINZELMAN,RR2,BALDWIN,ND,58521,666480208,,
SHERI,S,BARGER,219 S MAIN,DICKINSON,ND,58601,666501646,,
PATRICIA,A,BUONO,2137 E BOULEVARD,BISMARCK,ND,58501,666508672,,
LLOYD,D,BIRDJR,308 W 1ST,BOWMAN,ND,58623,666512614,,
LARRY,,HILL,3301 16TH S,FARGO,ND,58103,666522085,,
MICHAEL,,BENOIT,6718 50TH S,FARGO,ND,58104,666543332,,
CHRIS,A,MURPHY,PO BOX 310,NEW SALEM,ND,58563,666548484,,
YEKATERINA,V,BARBASH,625 MAPLE,MINOT,ND,58701,666548980,,
ANTHONY,,CHESTER,PO BOX 178,TURTLE LAKE,ND,58575,666586971,,
P,A,HOOVER,32251 90TH NE,STERLING,ND,58572,666603621,,
TAMMY,M,MITCHELL,1500 NORTHVIEW,BISMARCK,ND,58501,666629837,,
RICHARD,K,DONOHOE,2526 15TH S,FARGO,ND,58103,666642288,,
DARRELL,L,BENNETT,3356 19TH S,FARGO,ND,58104,666647661,,
BRENDA,,LYKINS,1870 42ND S,FARGO,ND,58103,666649065,,
SHERYL,,ERG,2629 35TH S,FARGO,ND,58104,666666785,,
CARNEZ,,COLLINS,729 N 33RD,BISMARCK,ND,58501,666685041,,
FRED,R,BAKMAN,1105 ASH,GRAND FORKS AFB,ND,58204,666706053,,
CAROL,A,GERBER,1136 JUNIPER,GRAND FORKS AFB,ND,58204,666711239,,
ROBERT,,BOLLA,169 DELTA,MINOT AFB,ND,58704,666748859,,
PHILLIP,N,MURRELL,191 RR1,REYNOLDS,ND,58275,666768014,,
KEVIN,,HARRINGTON,878 9TH E,DICKINSON,ND,58601,666787727,,
C,E,BALL,115 BURDICK E,MINOT,ND,58701,666789348,,
FRANK,,DIDONATO,PO BOX 1000,MENOT AFB,ND,58705,666793003,,
JUDITH,M,MAKI,135K RR2,GRAND FORKS,ND,58203,666801025,,
JOANNA,M,BONNER,210 7TH NW,JAMESTOWN,ND,58401,666808081,,
PHYLISS,H,BORNSTEIN,99 W GATEWAY,MANDAN,ND,58554,666822347,,
MILITA,B,CABA,124 1ST S,JAMESTOWN,ND,58401,666822634,,
DOROTHY,J,HENRY,5408 S WEIBLE NDSU 353,FARGO,ND,58103,666827046,,
CHERYL,,BENDER,1632 82ND SE,KENSAL,ND,58455,666846348,,
MICHAEL,,BOULDIN,2008 28TH S,FARGO,ND,58103,666987917,,
ANDREA,M,HIRSCH,PO BOX 160,NORTHWOOD,ND,58267,666024645,,
BILL,,HOLLINGSWORT,311 N 3RD,NEW SALEM,ND,58563,666037110,,
BRIAN,W,MEISTER,418 5TH,DEVILS LAKE,ND,58301,666060871,,
NODIER,,ARAUZ,306 HAMLINE,GRAND FORKS,ND,58203,666107912,,
DEBORAH,,BECKER,PO BOX 393,CASSELTON,ND,58012,666174757,,
DANIELFUYESUGI,,DANIELFUYESUGI,2024 UNIVERSITY,GRAND FORKS,ND,58203,666225957,,
LESLIE,G,MC,N OF CITY,WISHEK,ND,58495,666233273,,
CARDALE,D,BROWN,231 9TH W,WEST FARGO,ND,58078,666234281,,
GUY,A,BLAKEMAN,19 RR1,SENTNEL BUTTE,ND,58654,666237118,,
DAVID,,BROWN,101 WERNER,BISMARCK,ND,58501,666297990,,
MARIA,,IGLESIAS,201 RED RIVER TRAILER,WAHPETON,ND,58075,666339645,,
TRACY,C,FRIEDMAN,1521 27TH S,FARGO,ND,58103,666346819,,
RHONICE,M,APPLEBERRYBURNE,3415 S 2 OTH 412,GRAND FORKS,ND,58201,666364207,,
BRIAN,E,LUCKMAN,24 HC1,KILLDEER,ND,58640,666371172,,
DORIS,,BINGHAM,518 N 33RD,BISMARCK,ND,58501,666380108,,
ERNEST,F,HARRIS,135 RR2,PARK RIVER,ND,58270,666408626,,
THOMAS,,HUDGSON,1119 UNIVERSITY LOT 1811,BISMARCK,ND,58504,666416805,,
BRYAN,A,BATTON,PO BOX 414,DUNSEITH,ND,58329,666460337,,
MOHAMMED,,CHOUDARY,1810 N 8TH,BISMARCK,ND,58501,666462100,,
RONALD,,KELLY,825 42ND S,FARGO,ND,58103,666487470,,
DONNA,B,BARRETT,361 RR4,MINOT,ND,58701,666488351,,
RICKY,A,HIGHFIELD,4251 9TH AVENUE S,FARGO,ND,58103,666541804,,
GRACE,A,BANZHOFF,1213 11TH SE,JAMESTOWN,ND,58401,666601649,,
XUEQI,,CUI,2891 PSC 1 BOX 2891,MINOT AFB,ND,58705,666623191,,
BONNIE,,BEALL,HANSON,WALHALLA,ND,58282,666626804,,
NANCY,J,BYRNE,1712 CONTINENTAL,GRAND FORKS,ND,58201,666627207,,
IRA,J,FEINMAN,1119 S 9TH,BISMARCK,ND,58501,666668060,,
JOE,R,BATTEN,2079 LOUISIANA,GRAND FORKS,ND,58204,666721129,,
W,D,COLEMAN,1268 RANDOLPH,GRAND FORKS AFB,ND,58204,666747686,,
JOHN,T,MORRIS,2414 17TH S,FARGO,ND,58103,666780458,,
PAUL,,GALUT,3211 13TH S,FARGO,ND,58103,666788963,,
JACKIE,L,BROGDIN,15 4TH NE,MANDAN,ND,58554,666845868,,
BERNADIN,,JOHN,1408 10TH N,FARGO,ND,58102,666848098,,
NANCY,,COLLAZOPERRY,RR2,HATTON,ND,58240,666856031,,
LOLA,,BALSON,PO BOX 799,CANDO,ND,58324,666882385,,
NEVILLE,,BRASSEUR,2124B GATEWAY,GRAND FORKS,ND,58203,666943310,,
AMY,K,KENNEDY,301 6TH E,WEST FARGO,ND,58078,666014592,,
J,N,BINGHAM,2901 E ROSSER,BISMARCK,ND,58501,666029918,,
DREXEL,,BRADDY,410 S,DEVILS LAKE,ND,58301,666069578,,
SANDY,K,BURKE,3505 64TH,GLEN ULLIN,ND,58631,666123797,,
CARMAN,,MARTINEZ,2453 27TH S,GRAND FORKS,ND,58201,666154803,,
DONALD,E,BITTINGER,15670 28TH SW,SENTINEL BUTTE,ND,58654,666187286,,
D,A,BANKS,2802 38 1/2 S,FARGO,ND,58104,666207185,,
KIMBERLY,A,BALES,2001 3RD E,WEST FARGO,ND,58078,666207635,,
SUSAN,E,HOOVER,731 PARK DR FARGO,DEVILS LAKE,ND,58301,666260362,,
JOANN,M,HOALT,3504 11TH N,GRAND FORKS,ND,58203,666271604,,
LUA,A,MERCHANT,1516 8TH SW,MINOT,ND,58701,666315178,,
RALPH,E,BROCK,934 COLUMBINE,BISMARCK,ND,58501,666316772,,
CAROLYN,,GANKEL,PO BOX 400,DEVILS LAKE,ND,58301,666321916,,
PAMELA,,BABCOCK,2422 CUMBERLAND,GRAND FORKS,ND,58201,666323018,,
ROBERT,W,BRUCE          JR,517 N 14TH,BISMARCK,ND,58501,666324445,,
MARK,J,FAULKNOR,PO BOX 195,NEW SALEM,ND,58563,666331117,,
WILDA,L,HOLT,906 10TH W,WEST FARGO,ND,58078,666366100,,
GRAHAM,E,LEWIS,2200 S 34TH,GRAND FORKS,ND,58201,666451099,,
JUAN,C,CEVALLOS,392 RR1,DEVILS LAKE,ND,58301,666454297,,
LEONARD,,BORUTA,616 3RD S,WAHPETON,ND,58075,666462800,,
M,N,CHATEE,631 7TH W,WEST FARGO,ND,58078,666464984,,
THOMAS,G,MALCOLM,452 RR2,BISMARCK,ND,58504,666466112,,
CHARLES,E,MALLORY,24 2ND SE,CARRINGTON,ND,58421,666466695,,
LUIS,M,AQUINO,PO BOX 241B,PARK RIVER,ND,58270,666482987,,
SANDRA,A,ARMANDO,2500 UNIVERSITY,GRAND FORKS,ND,58203,666540224,,
DONALD,,BOYER,268 PRAIRIEWOOD,FARGO,ND,58103,666542019,,
LOUISE,E,DUKE,814 16TH NE,JAMESTOWN,ND,58401,666556462,,
N,S,ARRINGTON,PO BOX 187,GRAFTON,ND,58237,666626845,,
JANE,M,BOCK,1901 1/2 1ST N,GRAND FORKS,ND,58203,666659877,,
LOUIS,H,BOPP           JR,1 RR1,REYNOLDS,ND,58275,666665328,,
LESLIE,S,BOULDEN,2625 PACIFIC,FARGO,ND,58103,666665404,,
BRENDA,C,AUSTIN,1500 4TH NE,MANDAN,ND,58554,666682772,,
DAVID,R,BROWN,16756 53RD SE,KINDRED,ND,58051,666683171,,
MICHAEL,,BOONE,580 CARLTON,GRAND FORKS,ND,58203,666687624,,
RONALD,L,BEARDSLEY,1811 22ND S,GRAND FORKS,ND,58201,666760540,,
RO,E,JOHNSON,PO BOX 215,LEEDS,ND,58346,666764255,,
SANDRA,,BOYCE,615 CRAIG,MANDAN,ND,58554,666774337,,
NAPOLEAN,,BRYANTJR,PO BOX 1295,MAYVILLE,ND,58257,666789344,,
CHARLES,R,BACHER,16 2ND SW,HILLSBORO,ND,58045,666807742,,
TONJA,L,BEBOUT,RR3,HARVEY,ND,58341,666841155,,
MARLA,J,JOHNSON,236 4TH SE,DICKINSON,ND,58601,666881999,,
GERIANN,,BIALKOWSKI,7001 27TH NW,MINOT,ND,58703,666884378,,
PHILLIP,F,MUNDWILLER,2935 170TH SE,HARWOOD,ND,58042,666905016,,
FATIMA,,BRANCO,167 S WOODCREST,FARGO,ND,58102,666908923,,
BRYAN,A,BETTON,312 12TH NW,MANDAN,ND,58554,666940665,,
ROSE,L,LEWIS,1810 ALLISON,BISMARCK,ND,58501,666942187,,
MARK,,MOLITOR,1105 WHITMAN,MANDAN,ND,58554,666073691,,
WAYNE,H,BUDKA,710 5TH SE,JAMESTOWN,ND,58401,666082825,,
PATTI,A,MCCALL,1329 E SYCAMORE,GRAND FORKS,ND,58204,666084828,,
DANIEL,E,HUGHS,1871B I,GRAND FORKS,ND,58204,666117730,,
GILLIEN,R,LIBBY,177 10TH E,DICKINSON,ND,58601,666125147,,
JAMES,A,JAGUSCH,724 3RD NW,JAMESTOWN,ND,58401,666224240,,
WILLIAM,,LEWIS,237 9 1/2 W,WEST FARGO,ND,58078,666282434,,
STANLEY,F,BAUER,723 CENTRAL PLAINS,GRAND FORKS,ND,58201,666346141,,
JAMES,D,KELLER,1714 PARK,FARGO,ND,58103,666368009,,
G,W,BLACKBURN      JR,88 RR1,KENSAL,ND,58455,666385019,,
VERONICA,L,BRAGUNIER,RR1,PORTLAND,ND,58274,666402641,,
MICHAEL,A,BYERS,777 48TH S,FARGO,ND,58103,666424036,,
BORIS,,BERJARANO,75 RR1,BEULAH,ND,58523,666441639,,
JOHN,T,BROWN,721 5TH S,WAHPETON,ND,58075,666467653,,
LOUIS,,MAROTTA,2120 NAGEL,BISMARCK,ND,58501,666468081,,
KENT,D,BRANSON,722 3RD NE,JAMESTOWN,ND,58401,666468420,,
M,E,BUCK,1 HC,BEULAH,ND,58523,666485396,,
HELEN,N,BROTHERTON,4602 SAN JUAN,FARGO,ND,58103,666489272,,
ELVIE,B,FOLK,4B NOREN HALL,GRAND FORKS,ND,58202,666577817,,
KATHERINE,,BACA,805 1ST N,ELLENDALE,ND,58436,666580755,,
DELLA,,MARTIN,PO BOX 5056,GRAND FORKS,ND,58206,666584235,,
MASON,,FONTENOT       JR,3409 17TH S,FARGO,ND,58103,666586636,,
KATHY,,FINCH,14 RR2,SHEYENNE,ND,58374,666588532,,
SHARON,W,BRADLEY,1503 S WASHINGTON,BISMARCK,ND,58504,666604044,,
ERNEST,,BALDWIN,1268D RANDOLPH,GRAND FORKS,ND,58204,666609706,,
FREDDY,,MELENDEZ,1201 EXPANSION,HAZEN,ND,58545,666680936,,
LISA,A,KELLY,1815 TENT SE,MANDAN,ND,58554,666708807,,
